granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211003T060659Z_20231101T151834Z_S2B_30_v1_VEG-DIST-STATUS,20211003,2023-11-01 15:18:34,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211006T061729Z_20231101T151929Z_S2B_30_v1_VEG-DIST-STATUS,20211006,2023-11-01 15:19:29,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211008T060741Z_20231101T152009Z_S2A_30_v1_VEG-DIST-STATUS,20211008,2023-11-01 15:20:09,0,0,14,200,0,0,NA,0,0,281,1,25,25,25,20211008,1,1,281
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211009T060742Z_20231101T152056Z_L8_30_v1_VEG-DIST-STATUS,20211009,2023-11-01 15:20:56,0,255,255,200,0,0,NA,0,0,281,1,-1,25,25,20211008,1,1,281
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211011T055521Z_20231101T152148Z_L8_30_v1_VEG-DIST-STATUS,20211011,2023-11-01 15:21:48,0,255,255,200,0,0,NA,0,0,281,1,-1,25,25,20211008,1,1,281
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211011T061801Z_20231101T152232Z_S2A_30_v1_VEG-DIST-STATUS,20211011,2023-11-01 15:22:32,0,255,255,200,0,0,NA,0,0,281,1,-1,25,25,20211008,1,1,281
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211013T060809Z_20231101T152319Z_S2B_30_v1_VEG-DIST-STATUS,20211013,2023-11-01 15:23:19,0,255,255,200,0,0,NA,0,0,281,1,-1,25,25,20211008,1,1,281
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211016T061839Z_20231101T152353Z_S2B_30_v1_VEG-DIST-STATUS,20211016,2023-11-01 15:23:53,1,10,10,20,10,10,20211016,1,1,289,0,19,0,0,NA,0,0,289
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211018T060133Z_20231101T152430Z_L8_30_v1_VEG-DIST-STATUS,20211018,2023-11-01 15:24:30,2,18,2,20,18,56,20211016,2,3,291,0,10,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211018T060851Z_20231101T152523Z_S2A_30_v1_VEG-DIST-STATUS,20211018,2023-11-01 15:25:23,2,17,3,20,18,135,20211016,3,3,291,0,8,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211021T061911Z_20231101T152559Z_S2A_30_v1_VEG-DIST-STATUS,20211021,2023-11-01 15:25:59,2,255,255,20,18,135,20211016,3,3,291,0,-1,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211025T060744Z_20231101T152659Z_L8_30_v1_VEG-DIST-STATUS,20211025,2023-11-01 15:26:59,2,255,255,20,18,135,20211016,3,3,291,0,-1,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T43UDV_20211027T055522Z_20231101T152803Z_L8_30_v1_VEG-DIST-STATUS,20211027,2023-11-01 15:28:03,2,3,11,20,18,108,20211016,3,3,300,0,3,0,0,NA,0,0,300
