granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211001T165735Z_20231101T120430Z_L8_30_v1_VEG-DIST-STATUS,20211001,2023-11-01 12:04:30,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211003T170141Z_20231101T120509Z_S2A_30_v1_VEG-DIST-STATUS,20211003,2023-11-01 12:05:09,0,0,38,200,0,0,NA,0,0,276,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211008T170119Z_20231101T120630Z_S2B_30_v1_VEG-DIST-STATUS,20211008,2023-11-01 12:06:30,0,0,16,200,0,0,NA,0,0,281,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211010T165103Z_20231101T120729Z_L8_30_v1_VEG-DIST-STATUS,20211010,2023-11-01 12:07:29,0,255,255,200,0,0,NA,0,0,281,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211013T170251Z_20231101T120834Z_S2A_30_v1_VEG-DIST-STATUS,20211013,2023-11-01 12:08:34,0,255,255,200,0,0,NA,0,0,281,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211017T165715Z_20231101T120920Z_L8_30_v1_VEG-DIST-STATUS,20211017,2023-11-01 12:09:20,0,255,255,200,0,0,NA,0,0,281,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211018T170319Z_20231101T121006Z_S2B_30_v1_VEG-DIST-STATUS,20211018,2023-11-01 12:10:06,0,0,27,200,0,0,NA,0,0,291,0,4,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211023T170351Z_20231101T121047Z_S2A_30_v1_VEG-DIST-STATUS,20211023,2023-11-01 12:10:47,0,255,255,200,0,0,NA,0,0,291,0,-1,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211026T165104Z_20231101T121131Z_L8_30_v1_VEG-DIST-STATUS,20211026,2023-11-01 12:11:31,0,255,255,200,0,0,NA,0,0,291,0,-1,0,0,NA,0,0,291
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211028T170419Z_20231101T121225Z_S2B_30_v1_VEG-DIST-STATUS,20211028,2023-11-01 12:12:25,0,0,23,200,0,0,NA,0,0,301,0,3,0,0,NA,0,0,301
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211102T165714Z_20231101T121333Z_L8_30_v1_VEG-DIST-STATUS,20211102,2023-11-01 12:13:33,0,255,255,200,0,0,NA,0,0,301,0,-1,0,0,NA,0,0,301
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211102T170451Z_20231101T121433Z_S2A_30_v1_VEG-DIST-STATUS,20211102,2023-11-01 12:14:33,0,255,255,200,0,0,NA,0,0,301,0,-1,0,0,NA,0,0,301
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211107T170519Z_20231101T121557Z_S2B_30_v1_VEG-DIST-STATUS,20211107,2023-11-01 12:15:57,0,0,30,200,0,0,NA,0,0,311,0,2,0,0,NA,0,0,311
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211112T170541Z_20231101T121754Z_S2A_30_v1_VEG-DIST-STATUS,20211112,2023-11-01 12:17:54,0,0,21,200,0,0,NA,0,0,316,0,2,0,0,NA,0,0,316
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211117T170559Z_20231101T121845Z_S2B_30_v1_VEG-DIST-STATUS,20211117,2023-11-01 12:18:45,0,255,255,200,0,0,NA,0,0,316,0,-1,0,0,NA,0,0,316
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211118T165709Z_20231101T121931Z_L8_30_v1_VEG-DIST-STATUS,20211118,2023-11-01 12:19:31,1,10,5,15,10,10,20211118,1,1,322,0,8,0,0,NA,0,0,322
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211122T170621Z_20231101T122016Z_S2A_30_v1_VEG-DIST-STATUS,20211122,2023-11-01 12:20:16,1,255,255,15,10,10,20211118,1,1,322,0,-1,0,0,NA,0,0,322
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211202T170701Z_20231101T122054Z_S2A_30_v1_VEG-DIST-STATUS,20211202,2023-11-01 12:20:54,0,0,52,200,0,0,NA,0,0,336,0,1,0,0,NA,0,0,336
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211204T165711Z_20231101T122140Z_L8_30_v1_VEG-DIST-STATUS,20211204,2023-11-01 12:21:40,0,255,255,200,0,0,NA,0,0,336,0,-1,0,0,NA,0,0,336
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211207T170659Z_20231101T122245Z_S2B_30_v1_VEG-DIST-STATUS,20211207,2023-11-01 12:22:45,0,255,255,200,0,0,NA,0,0,336,0,-1,0,0,NA,0,0,336
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211212T170721Z_20231101T122449Z_S2A_30_v1_VEG-DIST-STATUS,20211212,2023-11-01 12:24:49,0,0,17,200,0,0,NA,0,0,346,0,3,0,0,NA,0,0,346
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211217T170719Z_20231101T122635Z_S2B_30_v1_VEG-DIST-STATUS,20211217,2023-11-01 12:26:35,0,255,255,200,0,0,NA,0,0,346,0,-1,0,0,NA,0,0,346
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211220T165708Z_20231101T122848Z_L8_30_v1_VEG-DIST-STATUS,20211220,2023-11-01 12:28:48,0,0,30,200,0,0,NA,0,0,354,0,2,0,0,NA,0,0,354
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211222T170731Z_20231101T122956Z_S2A_30_v1_VEG-DIST-STATUS,20211222,2023-11-01 12:29:56,0,0,38,200,0,0,NA,0,0,356,0,1,0,0,NA,0,0,356
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211227T170719Z_20231101T123124Z_S2B_30_v1_VEG-DIST-STATUS,20211227,2023-11-01 12:31:24,0,0,27,200,0,0,NA,0,0,361,0,3,0,0,NA,0,0,361
OPERA_L3_DIST-ALERT-HLS_T14RQT_20211229T165117Z_20231101T123301Z_L8_30_v1_VEG-DIST-STATUS,20211229,2023-11-01 12:33:01,0,255,255,200,0,0,NA,0,0,361,0,-1,0,0,NA,0,0,361
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220101T170721Z_20231101T123353Z_S2A_30_v1_VEG-DIST-STATUS,20220101,2023-11-01 12:33:53,0,255,255,200,0,0,NA,0,0,361,0,-1,0,0,NA,0,0,361
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220105T165704Z_20231101T123457Z_L8_30_v1_VEG-DIST-STATUS,20220105,2023-11-01 12:34:57,0,1,12,200,0,0,NA,0,0,370,0,7,0,0,NA,0,0,370
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220106T165054Z_20231101T123543Z_L9_30_v1_VEG-DIST-STATUS,20220106,2023-11-01 12:35:43,0,255,255,200,0,0,NA,0,0,370,0,-1,0,0,NA,0,0,370
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220106T170709Z_20231101T123716Z_S2B_30_v1_VEG-DIST-STATUS,20220106,2023-11-01 12:37:16,0,255,255,200,0,0,NA,0,0,370,0,-1,0,0,NA,0,0,370
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220111T170701Z_20231101T123840Z_S2A_30_v1_VEG-DIST-STATUS,20220111,2023-11-01 12:38:40,0,255,255,200,0,0,NA,0,0,370,0,-1,0,0,NA,0,0,370
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220113T165703Z_20231101T123942Z_L9_30_v1_VEG-DIST-STATUS,20220113,2023-11-01 12:39:42,0,6,7,200,0,0,NA,0,0,378,0,18,0,0,NA,0,0,378
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220114T165052Z_20231101T124041Z_L8_30_v1_VEG-DIST-STATUS,20220114,2023-11-01 12:40:41,0,255,255,200,0,0,NA,0,0,378,0,-1,0,0,NA,0,0,378
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220116T170639Z_20231101T124140Z_S2B_30_v1_VEG-DIST-STATUS,20220116,2023-11-01 12:41:40,0,5,5,200,0,0,NA,0,0,381,0,2,0,0,NA,0,0,381
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220121T165700Z_20231101T124221Z_L8_30_v1_VEG-DIST-STATUS,20220121,2023-11-01 12:42:21,0,255,255,200,0,0,NA,0,0,381,0,-1,0,0,NA,0,0,381
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220121T170621Z_20231101T124313Z_S2A_30_v1_VEG-DIST-STATUS,20220121,2023-11-01 12:43:13,0,3,7,200,0,0,NA,0,0,386,0,3,0,0,NA,0,0,386
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220122T165054Z_20231101T124414Z_L9_30_v1_VEG-DIST-STATUS,20220122,2023-11-01 12:44:14,0,255,255,200,0,0,NA,0,0,386,0,-1,0,0,NA,0,0,386
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220126T170549Z_20231101T124524Z_S2B_30_v1_VEG-DIST-STATUS,20220126,2023-11-01 12:45:24,0,255,255,200,0,0,NA,0,0,386,0,-1,0,0,NA,0,0,386
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220129T165705Z_20231101T124749Z_L9_30_v1_VEG-DIST-STATUS,20220129,2023-11-01 12:47:49,0,0,14,200,0,0,NA,0,0,394,0,1,0,0,NA,0,0,394
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220130T165046Z_20231101T124923Z_L8_30_v1_VEG-DIST-STATUS,20220130,2023-11-01 12:49:23,0,255,255,200,0,0,NA,0,0,394,0,-1,0,0,NA,0,0,394
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220205T170459Z_20231101T125109Z_S2B_30_v1_VEG-DIST-STATUS,20220205,2023-11-01 12:51:09,0,0,55,200,0,0,NA,0,0,401,0,2,0,0,NA,0,0,401
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220206T165657Z_20231101T125224Z_L8_30_v1_VEG-DIST-STATUS,20220206,2023-11-01 12:52:24,0,0,39,200,0,0,NA,0,0,402,0,2,0,0,NA,0,0,402
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220207T165053Z_20231101T125347Z_L9_30_v1_VEG-DIST-STATUS,20220207,2023-11-01 12:53:47,0,255,255,200,0,0,NA,0,0,402,0,-1,0,0,NA,0,0,402
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220210T170431Z_20231101T125546Z_S2A_30_v1_VEG-DIST-STATUS,20220210,2023-11-01 12:55:46,0,255,255,200,0,0,NA,0,0,402,0,-1,0,0,NA,0,0,402
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220214T165701Z_20231101T125703Z_L9_30_v1_VEG-DIST-STATUS,20220214,2023-11-01 12:57:03,0,0,11,200,0,0,NA,0,0,410,0,9,0,0,NA,0,0,410
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220215T165042Z_20231101T125801Z_L8_30_v1_VEG-DIST-STATUS,20220215,2023-11-01 12:58:01,0,255,255,200,0,0,NA,0,0,410,0,-1,0,0,NA,0,0,410
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220215T170359Z_20231101T125903Z_S2B_30_v1_VEG-DIST-STATUS,20220215,2023-11-01 12:59:03,0,4,6,200,0,0,NA,0,0,411,0,15,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220220T170331Z_20231101T130001Z_S2A_30_v1_VEG-DIST-STATUS,20220220,2023-11-01 13:00:01,0,255,255,200,0,0,NA,0,0,411,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220222T165651Z_20231101T130058Z_L8_30_v1_VEG-DIST-STATUS,20220222,2023-11-01 13:00:58,0,255,255,200,0,0,NA,0,0,411,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220302T165650Z_20231101T130212Z_L9_30_v1_VEG-DIST-STATUS,20220302,2023-11-01 13:02:12,0,0,12,200,0,0,NA,0,0,426,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220302T170221Z_20231101T130331Z_S2A_30_v1_VEG-DIST-STATUS,20220302,2023-11-01 13:03:31,0,0,12,200,0,0,NA,0,0,426,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220303T165039Z_20231101T130431Z_L8_30_v1_VEG-DIST-STATUS,20220303,2023-11-01 13:04:31,0,255,255,200,0,0,NA,0,0,426,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220310T165647Z_20231101T130519Z_L8_30_v1_VEG-DIST-STATUS,20220310,2023-11-01 13:05:19,0,1,11,200,0,0,NA,0,0,434,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220311T165040Z_20231101T130642Z_L9_30_v1_VEG-DIST-STATUS,20220311,2023-11-01 13:06:42,0,255,255,200,0,0,NA,0,0,434,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220312T170111Z_20231101T130827Z_S2A_30_v1_VEG-DIST-STATUS,20220312,2023-11-01 13:08:27,0,6,6,200,0,0,NA,0,0,436,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220317T165929Z_20231101T130951Z_S2B_30_v1_VEG-DIST-STATUS,20220317,2023-11-01 13:09:51,0,255,255,200,0,0,NA,0,0,436,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220319T165031Z_20231101T131049Z_L8_30_v1_VEG-DIST-STATUS,20220319,2023-11-01 13:10:49,0,255,255,200,0,0,NA,0,0,436,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220322T170001Z_20231101T131213Z_S2A_30_v1_VEG-DIST-STATUS,20220322,2023-11-01 13:12:13,0,0,47,200,0,0,NA,0,0,446,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220326T165636Z_20231101T131415Z_L8_30_v1_VEG-DIST-STATUS,20220326,2023-11-01 13:14:15,0,255,2,200,0,0,NA,0,0,446,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220327T165035Z_20231101T131528Z_L9_30_v1_VEG-DIST-STATUS,20220327,2023-11-01 13:15:28,0,255,255,200,0,0,NA,0,0,446,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220327T165849Z_20231101T131655Z_S2B_30_v1_VEG-DIST-STATUS,20220327,2023-11-01 13:16:55,0,255,255,200,0,0,NA,0,0,446,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220401T165851Z_20231101T131841Z_S2A_30_v1_VEG-DIST-STATUS,20220401,2023-11-01 13:18:41,1,13,2,15,13,13,20220401,1,1,456,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220403T165646Z_20231101T132011Z_L9_30_v1_VEG-DIST-STATUS,20220403,2023-11-01 13:20:11,2,12,3,15,13,50,20220401,2,3,458,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220406T165839Z_20231101T132105Z_S2B_30_v1_VEG-DIST-STATUS,20220406,2023-11-01 13:21:05,2,10,4,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220411T165638Z_20231101T132225Z_L8_30_v1_VEG-DIST-STATUS,20220411,2023-11-01 13:22:25,2,255,255,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220411T165851Z_20231101T132348Z_S2A_30_v1_VEG-DIST-STATUS,20220411,2023-11-01 13:23:48,2,255,255,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220419T165636Z_20231101T132531Z_L9_30_v1_VEG-DIST-STATUS,20220419,2023-11-01 13:25:31,2,255,255,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220420T165027Z_20231101T132708Z_L8_30_v1_VEG-DIST-STATUS,20220420,2023-11-01 13:27:08,2,255,255,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220421T165851Z_20231101T132905Z_S2A_30_v1_VEG-DIST-STATUS,20220421,2023-11-01 13:29:05,2,255,255,15,13,105,20220401,3,6,461,0,-1,0,0,NA,0,0,411
OPERA_L3_DIST-ALERT-HLS_T14RQT_20220427T165635Z_20231101T133035Z_L8_30_v1_VEG-DIST-STATUS,20220427,2023-11-01 13:30:35,0,7,3,200,0,0,NA,0,0,482,0,5,0,0,NA,0,0,482
