ID,Stratum,Long,Lat,VEG-DIST-STATUS,VEG-ANOM-MAX,VEG-IND-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-DUR,VEG-DIST-COUNT,GEN-DIST-STATUS,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-DUR,GEN-DIST-COUNT
62,3,127.947952879446,-16.9001631320261,0,0,55,0,NA,0,0,0,17,0,NA,17,6
63,1,4.64617101620718,16.3862976137374,0,0,9,0,NA,0,0,0,0,0,NA,0,0
64,2,21.5930992668063,-9.59656304098391,0,0,99,0,NA,0,0,0,0,0,NA,0,0
65,4,123.112950511008,-27.8620296601581,0,0,25,0,NA,0,0,0,0,0,NA,0,0
66,1,-48.8461791744172,-1.32692547600371,0,0,99,0,NA,0,0,0,0,0,NA,0,0
67,6,-52.2741955851163,-21.1005423173173,8,58,10,7212,20211206,91,15,0,27,0,NA,48,6
68,5,24.553415554018,57.5962874240476,0,0,99,0,NA,0,0,0,0,0,NA,0,0
69,4,63.0862516319834,46.725632326106,0,0,9,0,NA,0,0,0,0,0,NA,0,0
70,1,-79.5701165250654,37.965048744387,0,0,89,0,NA,0,0,0,0,0,NA,0,0
71,5,-137.169504894541,64.5025403636631,0,0,87,0,NA,0,0,0,0,0,NA,0,0
72,3,-97.4151517945089,17.770808701797,3,48,14,942,20220712,41,6,0,0,0,NA,0,0
73,4,33.3582026132727,4.05743633469194,0,0,92,0,NA,0,0,0,0,0,NA,0,0
74,1,86.9167586134907,53.1501765730419,0,0,99,0,NA,0,0,0,0,0,NA,0,0
75,2,46.6828096349766,29.4720193610816,0,0,8,0,NA,0,0,0,0,0,NA,0,0
76,3,-55.0464142266665,-26.6490570543781,0,0,99,0,NA,0,0,0,0,0,NA,0,0
77,1,135.473635720397,-33.9434468212184,0,0,78,0,NA,0,0,0,0,0,NA,0,0
78,4,-85.9083039066468,42.0103942992767,0,0,93,0,NA,0,0,0,0,0,NA,0,0
79,4,-42.9986126972061,-6.04992879300227,0,0,91,0,NA,0,0,0,0,0,NA,0,0
80,5,82.3111250577273,68.5565390661526,0,0,84,0,NA,0,0,0,0,0,NA,0,0
81,1,49.8001975441348,67.2810370272732,0,0,91,0,NA,0,0,0,0,0,NA,0,0
82,2,-104.873633309216,43.2444973427491,0,0,74,0,NA,0,0,3,32,3761,20220809,51,14
83,6,-126.002453408936,53.5103920677137,7,37,35,1400,20220516,46,8,0,61,0,NA,46,10
84,4,-101.270713874635,31.6448243813366,7,14,8,1338,20220525,34,11,0,0,0,NA,0,0
85,6,-162.093540828975,68.1093050178512,0,0,94,0,NA,0,0,0,0,0,NA,0,0
86,5,-79.1626067393133,54.7243917167489,0,0,92,0,NA,0,0,0,0,0,NA,0,0
87,4,-57.2678935726647,-30.0402159747653,7,46,35,2736,20211206,39,9,7,25,460,20211229,16,5
88,5,104.335966519356,33.0780215236549,0,0,99,0,NA,0,0,0,0,0,NA,0,0
89,4,-16.7740091324031,15.3576019208459,0,0,6,0,NA,0,0,7,38,2021,20211009,51,10
90,5,1.29327426428432,41.3971096208992,0,0,88,0,NA,0,0,0,0,0,NA,0,0
91,1,37.4168654195915,9.68789896476429,0,0,95,0,NA,0,0,0,0,0,NA,0,0
92,2,82.8927128909544,52.4873206671643,0,0,95,0,NA,0,0,0,0,0,NA,0,0
93,3,138.523360962776,-33.0631753683422,8,51,12,712,20220618,11,4,0,0,0,NA,0,0
94,1,85.7915277391346,37.4973106405913,0,0,9,0,NA,0,0,0,0,0,NA,0,0
95,5,3.91916585709495,46.6199661845604,0,0,99,0,NA,0,0,0,0,0,NA,0,0
96,1,157.913993798755,65.6952155234999,0,0,92,0,NA,0,0,0,0,0,NA,0,0
97,1,26.4573646751403,20.0319989284374,0,0,2,0,NA,0,0,0,0,0,NA,0,0
98,4,35.6265313582628,-1.60570593882946,7,40,28,5820,20220605,66,15,0,0,0,NA,0,0
99,2,45.8235554024722,7.26693410692607,0,0,34,0,NA,0,0,0,0,0,NA,0,0
100,4,-102.161165692225,41.0845605367137,0,0,60,0,NA,0,0,0,0,0,NA,0,0
101,3,149.922648323404,-23.8268706271891,0,0,78,0,NA,0,0,0,0,0,NA,0,0
102,3,83.4158864458788,53.2700833459818,0,0,99,0,NA,0,0,0,0,0,NA,0,0
103,4,77.0988122140704,28.7372937917321,7,26,15,952,20220530,25,7,0,0,0,NA,0,0
104,5,-119.383975501228,36.8495421648011,0,0,63,0,NA,0,0,0,0,0,NA,0,0
105,5,63.9823479612647,61.2196903550934,0,0,90,0,NA,0,0,0,0,0,NA,0,0
106,2,20.7879289477815,-20.6206688645597,0,0,70,0,NA,0,0,7,28,652,20211012,24,6
107,5,124.88010288684,65.562822090177,7,47,26,22020,20211002,285,28,0,49,0,NA,51,24
108,1,47.7755376946261,60.9816301772763,0,0,99,0,NA,0,0,0,0,0,NA,0,0
109,5,-114.418204160222,47.5780516953685,0,0,63,0,NA,0,0,0,0,0,NA,0,0
110,5,18.7640577330342,57.7790113288056,0,0,93,0,NA,0,0,0,0,0,NA,0,0
111,1,23.9217112375945,61.390647736135,0,0,99,0,NA,0,0,0,0,0,NA,0,0
112,1,130.332578129909,-11.5820384723286,0,0,99,0,NA,0,0,0,0,0,NA,0,0
113,6,53.4012466577121,29.5525765699936,0,0,14,0,NA,0,0,0,0,0,NA,0,0
114,3,10.2311848707699,6.85403072408087,0,0,99,0,NA,0,0,0,0,0,NA,0,0
115,3,-111.342579698392,30.8574857474416,0,0,84,0,NA,0,0,0,0,0,NA,0,0
116,5,22.124468138036,-12.1779957491179,0,0,62,0,NA,0,0,0,0,0,NA,0,0
117,5,-120.788473474788,38.9141262271013,0,0,97,0,NA,0,0,0,0,0,NA,0,0
118,4,67.0997206999058,58.1708356670931,0,0,86,0,NA,0,0,0,0,0,NA,0,0
119,3,-106.061229867868,46.0194157363258,0,0,43,0,NA,0,0,0,0,0,NA,0,0
120,4,59.6976436756324,50.5040218462218,0,0,58,0,NA,0,0,0,0,0,NA,0,0
121,3,38.4642811993339,-12.2816305061818,0,0,99,0,NA,0,0,0,0,0,NA,0,0
122,3,103.643999148033,34.5350369570934,0,0,93,0,NA,0,0,0,0,0,NA,0,0
123,4,-56.3054009781654,-25.0761977063484,0,0,96,0,NA,0,0,0,0,0,NA,0,0
124,2,13.4824894840948,14.7605497003764,0,0,8,0,NA,0,0,0,0,0,NA,0,0
125,2,133.811825128779,67.4450983937315,0,0,89,0,NA,0,0,0,0,0,NA,0,0
126,1,-102.503102134472,28.1725983971861,0,0,60,0,NA,0,0,0,0,0,NA,0,0
127,3,46.753965344662,39.3608309698348,0,0,53,0,NA,0,0,0,0,0,NA,0,0
128,1,-58.1885265780097,53.4744079658758,0,0,93,0,NA,0,0,0,0,0,NA,0,0
