granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211002T054651Z_20231101T151516Z_S2A_30_v1_VEG-DIST-STATUS,20211002,2023-11-01 15:15:16,1,30,20,50,30,30,20211002,1,1,275,0,17,0,0,NA,0,0,275
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211004T053659Z_20231101T151554Z_S2B_30_v1_VEG-DIST-STATUS,20211004,2023-11-01 15:15:54,1,255,255,50,30,30,20211002,1,1,275,0,-1,0,0,NA,0,0,275
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211006T054309Z_20231101T151625Z_L8_30_v1_VEG-DIST-STATUS,20211006,2023-11-01 15:16:25,2,30,16,50,30,120,20211002,2,5,279,0,16,0,0,NA,0,0,279
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211007T054719Z_20231101T151717Z_S2B_30_v1_VEG-DIST-STATUS,20211007,2023-11-01 15:17:17,2,29,17,50,30,267,20211002,3,6,280,1,21,21,21,20211007,1,1,280
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211009T053731Z_20231101T151807Z_S2A_30_v1_VEG-DIST-STATUS,20211009,2023-11-01 15:18:07,2,255,255,50,30,267,20211002,3,6,280,1,-1,21,21,20211007,1,1,280
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211012T054801Z_20231101T151908Z_S2A_30_v1_VEG-DIST-STATUS,20211012,2023-11-01 15:19:08,3,27,19,50,30,464,20211002,4,11,285,2,28,28,98,20211007,2,6,285
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211014T053809Z_20231101T152003Z_S2B_30_v1_VEG-DIST-STATUS,20211014,2023-11-01 15:20:03,3,255,255,50,30,464,20211002,4,11,285,2,-1,28,98,20211007,2,6,285
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211015T053701Z_20231101T152040Z_L8_30_v1_VEG-DIST-STATUS,20211015,2023-11-01 15:20:40,3,34,12,46,34,750,20211002,5,14,288,2,40,40,267,20211007,3,9,288
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211017T054829Z_20231101T152123Z_S2B_30_v1_VEG-DIST-STATUS,20211017,2023-11-01 15:21:23,3,30,16,46,34,1080,20211002,6,16,290,2,34,40,492,20211007,4,11,290
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211019T053841Z_20231101T152204Z_S2A_30_v1_VEG-DIST-STATUS,20211019,2023-11-01 15:22:04,3,255,255,46,34,1080,20211002,6,16,290,2,-1,40,492,20211007,4,11,290
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211022T054312Z_20231101T152256Z_L8_30_v1_VEG-DIST-STATUS,20211022,2023-11-01 15:22:56,3,255,255,46,34,1080,20211002,6,16,290,2,-1,40,492,20211007,4,11,290
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211022T054901Z_20231101T152331Z_S2A_30_v1_VEG-DIST-STATUS,20211022,2023-11-01 15:23:31,3,25,21,46,34,1435,20211002,7,21,295,2,15,40,441,20211007,4,11,295
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211024T053909Z_20231101T152414Z_S2B_30_v1_VEG-DIST-STATUS,20211024,2023-11-01 15:24:14,3,255,255,46,34,1435,20211002,7,21,295,2,-1,40,441,20211007,4,11,295
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211027T054929Z_20231101T152505Z_S2B_30_v1_VEG-DIST-STATUS,20211027,2023-11-01 15:25:05,3,11,29,46,34,1728,20211002,8,26,300,0,15,0,0,NA,0,0,300
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211029T053941Z_20231101T152557Z_S2A_30_v1_VEG-DIST-STATUS,20211029,2023-11-01 15:25:57,3,255,255,46,34,1728,20211002,8,26,300,0,-1,0,0,NA,0,0,300
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211031T053701Z_20231101T152712Z_L8_30_v1_VEG-DIST-STATUS,20211031,2023-11-01 15:27:12,3,24,16,46,34,2160,20211002,9,30,304,1,24,24,24,20211031,1,1,304
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211101T055001Z_20231101T152801Z_S2A_30_v1_VEG-DIST-STATUS,20211101,2023-11-01 15:28:01,3,21,19,46,34,2610,20211002,10,31,305,2,28,28,104,20211031,2,2,305
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211103T054009Z_20231101T152847Z_S2B_30_v1_VEG-DIST-STATUS,20211103,2023-11-01 15:28:47,3,255,255,46,34,2610,20211002,10,31,305,2,-1,28,104,20211031,2,2,305
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211106T055029Z_20231101T152951Z_S2B_30_v1_VEG-DIST-STATUS,20211106,2023-11-01 15:29:51,3,255,255,46,34,2610,20211002,10,31,305,2,-1,28,104,20211031,2,2,305
OPERA_L3_DIST-ALERT-HLS_T43RCQ_20211107T054310Z_20231101T153050Z_L8_30_v1_VEG-DIST-STATUS,20211107,2023-11-01 15:30:50,3,255,255,46,34,2610,20211002,10,31,305,2,-1,28,104,20211031,2,2,305
