granuleID,SensingTime,ProductionTime,VEG-DIST-STATUS,VEG-ANOM,VEG-IND,VEG-HIST,VEG-ANOM-MAX,VEG-DIST-CONF,VEG-DIST-DATE,VEG-DIST-COUNT,VEG-DIST-DUR,VEG-LAST-DATE,GEN-DIST-STATUS,GEN-ANOM,GEN-ANOM-MAX,GEN-DIST-CONF,GEN-DIST-DATE,GEN-DIST-COUNT,GEN-DIST-DUR,GEN-LAST-DATE
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211004T172059Z_20231101T120441Z_S2B_30_v1_VEG-DIST-STATUS,20211004,2023-11-01 12:04:41,255,255,255,255,255,-1,NA,255,-1,-1,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211006T171832Z_20231101T120602Z_L8_30_v1_VEG-DIST-STATUS,20211006,2023-11-01 12:06:02,1,14,2,16,14,14,20211006,1,1,279,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211009T172231Z_20231101T120713Z_S2A_30_v1_VEG-DIST-STATUS,20211009,2023-11-01 12:07:13,1,255,255,16,14,14,20211006,1,1,279,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211013T172445Z_20231101T120828Z_L8_30_v1_VEG-DIST-STATUS,20211013,2023-11-01 12:08:28,1,255,255,16,14,14,20211006,1,1,279,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211014T172259Z_20231101T120924Z_S2B_30_v1_VEG-DIST-STATUS,20211014,2023-11-01 12:09:24,1,255,255,16,14,14,20211006,1,1,279,255,-1,-1,-1,NA,255,-1,-1
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211019T172341Z_20231101T121004Z_S2A_30_v1_VEG-DIST-STATUS,20211019,2023-11-01 12:10:04,2,16,2,18,16,60,20211006,2,14,292,0,12,0,0,NA,0,0,292
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211022T171835Z_20231101T121105Z_L8_30_v1_VEG-DIST-STATUS,20211022,2023-11-01 12:11:05,2,255,255,18,16,60,20211006,2,14,292,0,-1,0,0,NA,0,0,292
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211024T172409Z_20231101T121153Z_S2B_30_v1_VEG-DIST-STATUS,20211024,2023-11-01 12:11:53,2,255,255,18,16,60,20211006,2,14,292,0,-1,0,0,NA,0,0,292
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211029T172441Z_20231101T121259Z_S2A_30_v1_VEG-DIST-STATUS,20211029,2023-11-01 12:12:59,2,15,3,18,16,135,20211006,3,24,302,0,16,0,0,NA,0,0,302
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211029T172445Z_20231101T121430Z_L8_30_v1_VEG-DIST-STATUS,20211029,2023-11-01 12:14:30,2,255,255,18,16,135,20211006,3,24,302,0,-1,0,0,NA,0,0,302
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211103T172509Z_20231101T121549Z_S2B_30_v1_VEG-DIST-STATUS,20211103,2023-11-01 12:15:49,2,255,255,18,16,135,20211006,3,24,302,0,-1,0,0,NA,0,0,302
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211107T171833Z_20231101T121735Z_L8_30_v1_VEG-DIST-STATUS,20211107,2023-11-01 12:17:35,2,17,1,18,17,248,20211006,4,33,311,0,6,0,0,NA,0,0,311
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211113T172559Z_20231101T121822Z_S2B_30_v1_VEG-DIST-STATUS,20211113,2023-11-01 12:18:22,3,18,0,18,18,400,20211006,5,39,317,0,6,0,0,NA,0,0,317
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211114T172441Z_20231101T121902Z_L8_30_v1_VEG-DIST-STATUS,20211114,2023-11-01 12:19:02,3,255,255,18,18,400,20211006,5,39,317,0,-1,0,0,NA,0,0,317
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211118T172621Z_20231101T121944Z_S2A_30_v1_VEG-DIST-STATUS,20211118,2023-11-01 12:19:44,3,19,2,21,19,594,20211006,6,44,322,0,4,0,0,NA,0,0,322
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211123T171830Z_20231101T122044Z_L8_30_v1_VEG-DIST-STATUS,20211123,2023-11-01 12:20:44,3,11,2,21,19,770,20211006,7,49,327,0,5,0,0,NA,0,0,327
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211123T172639Z_20231101T122129Z_S2B_30_v1_VEG-DIST-STATUS,20211123,2023-11-01 12:21:29,3,11,2,21,19,968,20211006,8,49,327,0,4,0,0,NA,0,0,327
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211128T172651Z_20231101T122232Z_S2A_30_v1_VEG-DIST-STATUS,20211128,2023-11-01 12:22:32,3,11,2,21,19,1188,20211006,9,54,332,0,5,0,0,NA,0,0,332
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211130T172441Z_20231101T122426Z_L8_30_v1_VEG-DIST-STATUS,20211130,2023-11-01 12:24:26,3,255,255,21,19,1188,20211006,9,54,332,0,-1,0,0,NA,0,0,332
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211203T172659Z_20231101T122539Z_S2B_30_v1_VEG-DIST-STATUS,20211203,2023-11-01 12:25:39,3,10,3,21,19,1420,20211006,10,59,337,0,5,0,0,NA,0,0,337
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211208T172721Z_20231101T122703Z_S2A_30_v1_VEG-DIST-STATUS,20211208,2023-11-01 12:27:03,3,10,3,21,19,1672,20211006,11,64,342,0,5,0,0,NA,0,0,342
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211209T171830Z_20231101T122837Z_L8_30_v1_VEG-DIST-STATUS,20211209,2023-11-01 12:28:37,3,10,3,21,19,1944,20211006,12,65,343,0,6,0,0,NA,0,0,343
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211216T172440Z_20231101T123011Z_L8_30_v1_VEG-DIST-STATUS,20211216,2023-11-01 12:30:11,3,255,255,21,19,1944,20211006,12,65,343,0,-1,0,0,NA,0,0,343
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211218T172731Z_20231101T123145Z_S2A_30_v1_VEG-DIST-STATUS,20211218,2023-11-01 12:31:45,3,255,255,21,19,1944,20211006,12,65,343,0,-1,0,0,NA,0,0,343
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211223T172729Z_20231101T123359Z_S2B_30_v1_VEG-DIST-STATUS,20211223,2023-11-01 12:33:59,3,9,5,21,19,1894,20211006,12,65,357,0,6,0,0,NA,0,0,357
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211225T171826Z_20231101T123514Z_L8_30_v1_VEG-DIST-STATUS,20211225,2023-11-01 12:35:14,3,10,4,21,19,2184,20211006,13,81,359,0,10,0,0,NA,0,0,359
OPERA_L3_DIST-ALERT-HLS_T13QFC_20211228T172731Z_20231101T123623Z_S2A_30_v1_VEG-DIST-STATUS,20211228,2023-11-01 12:36:23,3,8,6,21,19,2128,20211006,13,81,362,0,9,0,0,NA,0,0,362
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220101T172434Z_20231101T123748Z_L8_30_v1_VEG-DIST-STATUS,20220101,2023-11-01 12:37:48,3,255,255,21,19,2128,20211006,13,81,362,0,-1,0,0,NA,0,0,362
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220102T171826Z_20231101T123907Z_L9_30_v1_VEG-DIST-STATUS,20220102,2023-11-01 12:39:07,7,8,5,21,19,2079,20211006,13,81,367,0,13,0,0,NA,0,0,367
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220102T172719Z_20231101T124019Z_S2B_30_v1_VEG-DIST-STATUS,20220102,2023-11-01 12:40:19,7,7,6,21,19,2079,20211006,13,81,367,0,11,0,0,NA,0,0,367
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220107T172721Z_20231101T124126Z_S2A_30_v1_VEG-DIST-STATUS,20220107,2023-11-01 12:41:26,7,1,12,21,19,2079,20211006,13,81,372,0,10,0,0,NA,0,0,372
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220109T172435Z_20231101T124211Z_L9_30_v1_VEG-DIST-STATUS,20220109,2023-11-01 12:42:11,7,255,255,21,19,2079,20211006,13,81,372,0,-1,0,0,NA,0,0,372
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220110T171823Z_20231101T124250Z_L8_30_v1_VEG-DIST-STATUS,20220110,2023-11-01 12:42:50,7,255,255,21,19,2079,20211006,13,81,372,0,-1,0,0,NA,0,0,372
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220112T172659Z_20231101T124351Z_S2B_30_v1_VEG-DIST-STATUS,20220112,2023-11-01 12:43:51,7,255,255,21,19,2079,20211006,13,81,372,0,-1,0,0,NA,0,0,372
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220117T172432Z_20231101T124448Z_L8_30_v1_VEG-DIST-STATUS,20220117,2023-11-01 12:44:48,7,255,255,21,19,2079,20211006,13,81,372,0,-1,0,0,NA,0,0,372
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220117T172651Z_20231101T124619Z_S2A_30_v1_VEG-DIST-STATUS,20220117,2023-11-01 12:46:19,7,0,15,21,19,2079,20211006,13,81,382,0,10,0,0,NA,0,0,382
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220118T171824Z_20231101T124800Z_L9_30_v1_VEG-DIST-STATUS,20220118,2023-11-01 12:48:00,7,5,8,21,19,2079,20211006,13,81,383,0,12,0,0,NA,0,0,383
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220122T172619Z_20231101T124917Z_S2B_30_v1_VEG-DIST-STATUS,20220122,2023-11-01 12:49:17,7,2,11,21,19,2079,20211006,13,81,387,0,16,0,0,NA,0,0,387
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220125T172436Z_20231101T125103Z_L9_30_v1_VEG-DIST-STATUS,20220125,2023-11-01 12:51:03,7,255,255,21,19,2079,20211006,13,81,387,0,-1,0,0,NA,0,0,387
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220126T171817Z_20231101T125203Z_L8_30_v1_VEG-DIST-STATUS,20220126,2023-11-01 12:52:03,7,5,8,21,19,2079,20211006,13,81,391,0,16,0,0,NA,0,0,391
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220127T172601Z_20231101T125330Z_S2A_30_v1_VEG-DIST-STATUS,20220127,2023-11-01 12:53:30,7,0,18,21,19,2079,20211006,13,81,392,0,12,0,0,NA,0,0,392
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220201T172529Z_20231101T125450Z_S2B_30_v1_VEG-DIST-STATUS,20220201,2023-11-01 12:54:50,7,2,14,21,19,2079,20211006,13,81,397,0,13,0,0,NA,0,0,397
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220202T172428Z_20231101T125606Z_L8_30_v1_VEG-DIST-STATUS,20220202,2023-11-01 12:56:06,7,255,255,21,19,2079,20211006,13,81,397,0,-1,0,0,NA,0,0,397
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220203T171825Z_20231101T125656Z_L9_30_v1_VEG-DIST-STATUS,20220203,2023-11-01 12:56:56,7,0,13,21,19,2079,20211006,13,81,399,0,17,0,0,NA,0,0,399
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220206T172511Z_20231101T125758Z_S2A_30_v1_VEG-DIST-STATUS,20220206,2023-11-01 12:57:58,7,2,11,21,19,2079,20211006,13,81,402,0,15,0,0,NA,0,0,402
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220210T172434Z_20231101T125853Z_L9_30_v1_VEG-DIST-STATUS,20220210,2023-11-01 12:58:53,7,255,255,21,19,2079,20211006,13,81,402,0,-1,0,0,NA,0,0,402
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220211T171815Z_20231101T125946Z_L8_30_v1_VEG-DIST-STATUS,20220211,2023-11-01 12:59:46,7,0,18,21,19,2079,20211006,13,81,407,0,18,0,0,NA,0,0,407
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220211T172429Z_20231101T130026Z_S2B_30_v1_VEG-DIST-STATUS,20220211,2023-11-01 13:00:26,7,0,21,21,19,2079,20211006,13,81,407,0,15,0,0,NA,0,0,407
OPERA_L3_DIST-ALERT-HLS_T13QFC_20220216T172411Z_20231101T130117Z_S2A_30_v1_VEG-DIST-STATUS,20220216,2023-11-01 13:01:17,7,0,47,21,19,2079,20211006,13,81,412,0,12,0,0,NA,0,0,412
