DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022009T105150_L30_T29PMM_v1,10184144,0,173,3211283
DIST-ALERT_2022017T105147_L30_T29PMM_v1,10277198,316,21,3118065
DIST-ALERT_2022016T105736_L30_T29PMM_v1,9486079,31835,21686,3856000
DIST-ALERT_2022025T105151_L30_T29PMM_v1,11141072,4830,2943,2246755
DIST-ALERT_2022002T104405_L30_T30PTB_v1,11766795,20627,19983,1588195
DIST-ALERT_2022011T103752_L30_T30PTB_v1,13394120,72,1,1407
DIST-ALERT_2022024T105731_L30_T29PMM_v1,712983,92,0,12682525
DIST-ALERT_2022026T104357_L30_T30PTB_v1,6378324,52895,57390,6906991
DIST-ALERT_2022027T103754_L30_T30PTB_v1,9101520,3809,2256,4288015
DIST-ALERT_2022019T103749_L30_T30PTB_v1,9309844,39,0,4085717
DIST-ALERT_2022006T102009_L30_T30PYV_v1,4121042,709,624,9273225
DIST-ALERT_2022018T104403_L30_T30PTB_v1,1274132,128,0,12121340
DIST-ALERT_2022022T102009_L30_T30PYV_v1,4004180,1021,153,9390246
DIST-ALERT_2022021T102615_L30_T30PYV_v1,6464447,170,0,6930983
DIST-ALERT_2022013T102617_L30_T30PYV_v1,6986122,17714,8726,6383038
DIST-ALERT_2022014T102006_L30_T30PYV_v1,4217127,29,298,9178146
DIST-ALERT_2022030T102001_L30_T30PYV_v1,4279287,42,15,9116256
DIST-ALERT_2022029T102620_L30_T30PYV_v1,6683707,868,499,6710526
DIST-ALERT_2022001T100026_L30_T31QFU_v1,8334958,0,127,5060515
DIST-ALERT_2022008T100635_L30_T31QFU_v1,1904126,161,0,11491313
DIST-ALERT_2022009T100023_L30_T31QFU_v1,8466134,73,0,4929393
DIST-ALERT_2022017T100023_L30_T31QFU_v1,8362921,0,117,5032562
DIST-ALERT_2022016T100632_L30_T31QFU_v1,1878631,0,375,11516594
DIST-ALERT_2022025T100018_L30_T31QFU_v1,9312390,4855,4335,4074020
DIST-ALERT_2022024T100636_L30_T31QFU_v1,2039357,163,0,11356080
DIST-ALERT_2022005T102020_L30_T31SDU_v1,13296788,560,91917,6335
DIST-ALERT_2022013T102019_L30_T31SDU_v1,11638561,9300,8117,1739622
DIST-ALERT_2022021T102016_L30_T31SDU_v1,10028265,10743,19217,3337375
DIST-ALERT_2022029T102022_L30_T31SDU_v1,9411010,4796,3802,3975992
DIST-ALERT_2022028T102600_L30_T31SDU_v1,260784,4476,3021,13127319
DIST-ALERT_2022020T102608_L30_T31SDU_v1,249383,5741,3479,13136997
DIST-ALERT_2022005T093717_L30_T32PPT_v1,7253443,39075,35029,6068053
DIST-ALERT_2022013T093715_L30_T32PPT_v1,3680148,112377,98944,9504131
DIST-ALERT_2022009T091209_L30_T33PWP_v1,13288274,2309,358,104659
DIST-ALERT_2022029T093709_L30_T32PPT_v1,5351424,108929,383773,7551474
DIST-ALERT_2022025T091210_L30_T33PWP_v1,12495457,0,141,900002
DIST-ALERT_2022021T093717_L30_T32PPT_v1,1616511,62135,29624,11687330
DIST-ALERT_2022031T084104_L30_T34LEQ_v1,13324096,800,688,70016
DIST-ALERT_2022008T091819_L30_T33PWP_v1,1782,0,20,13393798
DIST-ALERT_2022003T090146_L30_T34NCL_v1,13179104,1554,6949,207993
DIST-ALERT_2022016T091819_L30_T33PWP_v1,8428419,70365,33408,4863408
DIST-ALERT_2022023T084058_L30_T34LEQ_v1,13395326,52,2,220
DIST-ALERT_2022004T085537_L30_T34NCL_v1,9636534,26623,14604,3717839
DIST-ALERT_2022015T084102_L30_T34LEQ_v1,13395479,0,0,121
DIST-ALERT_2022017T091206_L30_T33PWP_v1,13203846,658,118,190978
DIST-ALERT_2022024T091814_L30_T33PWP_v1,6933,2687,2186,13383794
DIST-ALERT_2022011T090146_L30_T34NCL_v1,13395600,0,0,0
DIST-ALERT_2022012T085535_L30_T34NCL_v1,13395600,0,0,0
DIST-ALERT_2022027T090148_L30_T34NCL_v1,12968175,857,1026,425542
DIST-ALERT_2022019T090144_L30_T34NCL_v1,12841699,26,0,553875
DIST-ALERT_2022006T080434_L30_T35HLD_v1,13395600,0,0,0
DIST-ALERT_2022028T085529_L30_T34NCL_v1,12011681,14386,421447,948086
DIST-ALERT_2022022T080430_L30_T35HLD_v1,9195255,353,815,4199177
DIST-ALERT_2022014T080433_L30_T35HLD_v1,11986541,2344,848,1405867
DIST-ALERT_2022020T085536_L30_T34NCL_v1,2590380,33961,21597,10749662
DIST-ALERT_2022002T081719_L30_T35PQM_v1,11747813,30473,68972,1548342
DIST-ALERT_2022010T081719_L30_T35PQM_v1,10042015,11322,5999,3336264
DIST-ALERT_2022006T075347_L30_T36NXM_v1,13395600,0,0,0
DIST-ALERT_2022026T081721_L30_T35PQM_v1,8467065,0,213,4928322
DIST-ALERT_2022005T080000_L30_T36NXM_v1,6433295,51019,31139,6880147
DIST-ALERT_2022021T075959_L30_T36NXM_v1,7350274,259064,58022,5728240
DIST-ALERT_2022022T075343_L30_T36NXM_v1,11451275,12667,19978,1911680
DIST-ALERT_2022003T080424_L30_T37SBV_v1,13297063,653,433,97451
DIST-ALERT_2022029T075952_L30_T36NXM_v1,719661,13747,10491,12651701
DIST-ALERT_2022030T075349_L30_T36NXM_v1,10504598,2117,1528,2887357
DIST-ALERT_2022009T081619_L30_T37SBV_v1,13395449,3,26,122
DIST-ALERT_2022013T075957_L30_T36NXM_v1,2482352,28616,35563,10849069
DIST-ALERT_2022002T081009_L30_T37SBV_v1,9037917,13505,11101,4333077
DIST-ALERT_2022014T075347_L30_T36NXM_v1,10809767,1471,223,2584139
DIST-ALERT_2022017T081620_L30_T37SBV_v1,11935113,7159,8995,1444333
DIST-ALERT_2022011T080421_L30_T37SBV_v1,13318395,2779,1440,72986
DIST-ALERT_2022019T080422_L30_T37SBV_v1,13395600,0,0,0
DIST-ALERT_2022018T081006_L30_T37SBV_v1,12090691,24360,8364,1272185
DIST-ALERT_2022027T080415_L30_T37SBV_v1,13395600,0,0,0
DIST-ALERT_2022011T072141_L30_T38PKR_v1,12789294,1697,659,603950
