DIST_ID,nodata,olddataonly,newdataonly,data
DIST-ALERT_2022016T132929_L30_T22MGD_v1,11458412,15485,10118,1911585
DIST-ALERT_2022016T105736_L30_T29PMM_v1,9486091,31835,21687,3855987
DIST-ALERT_2022009T105150_L30_T29PMM_v1,10184149,0,173,3211278
DIST-ALERT_2022002T104405_L30_T30PTB_v1,11766784,20627,19984,1588205
DIST-ALERT_2022025T105151_L30_T29PMM_v1,11141075,4830,2943,2246752
DIST-ALERT_2022011T103752_L30_T30PTB_v1,13394120,72,1,1407
DIST-ALERT_2022024T105731_L30_T29PMM_v1,713029,92,4,12682475
DIST-ALERT_2022026T104357_L30_T30PTB_v1,6378324,52895,57458,6906923
DIST-ALERT_2022018T104403_L30_T30PTB_v1,1274128,128,0,12121344
DIST-ALERT_2022006T102009_L30_T30PYV_v1,4117240,709,624,9277027
DIST-ALERT_2022027T103754_L30_T30PTB_v1,9101266,3809,2256,4288269
DIST-ALERT_2022014T102006_L30_T30PYV_v1,4214087,30,499,9180984
DIST-ALERT_2022021T102615_L30_T30PYV_v1,6464375,170,0,6931055
DIST-ALERT_2022029T102620_L30_T30PYV_v1,6683556,868,499,6710677
DIST-ALERT_2022013T102617_L30_T30PYV_v1,6986808,17734,8747,6382311
DIST-ALERT_2022017T105147_L30_T29PMM_v1,10277205,316,21,3118058
DIST-ALERT_2022022T102009_L30_T30PYV_v1,4000875,1021,153,9393551
DIST-ALERT_2022019T103749_L30_T30PTB_v1,9309682,39,46,4085833
DIST-ALERT_2022001T100026_L30_T31QFU_v1,8334958,0,127,5060515
DIST-ALERT_2022030T102001_L30_T30PYV_v1,4276185,42,15,9119358
DIST-ALERT_2022008T100635_L30_T31QFU_v1,1904126,161,0,11491313
DIST-ALERT_2022016T100632_L30_T31QFU_v1,1878631,0,375,11516594
DIST-ALERT_2022017T100023_L30_T31QFU_v1,8362921,0,117,5032562
DIST-ALERT_2022009T100023_L30_T31QFU_v1,8466134,73,0,4929393
DIST-ALERT_2022024T100636_L30_T31QFU_v1,2039357,163,0,11356080
DIST-ALERT_2022005T102020_L30_T31SDU_v1,13296788,560,91917,6335
DIST-ALERT_2022021T102016_L30_T31SDU_v1,10028267,10744,19218,3337371
DIST-ALERT_2022013T102019_L30_T31SDU_v1,11638418,9302,8117,1739763
DIST-ALERT_2022025T100018_L30_T31QFU_v1,9312390,4855,4335,4074020
DIST-ALERT_2022029T102022_L30_T31SDU_v1,9410786,4821,3803,3976190
DIST-ALERT_2022028T102600_L30_T31SDU_v1,253984,4532,3045,13134039
DIST-ALERT_2022005T093717_L30_T32PPT_v1,7253347,39075,35029,6068149
DIST-ALERT_2022020T102608_L30_T31SDU_v1,244243,5809,3505,13142043
DIST-ALERT_2022029T093709_L30_T32PPT_v1,5351424,108929,383773,7551474
DIST-ALERT_2022021T093717_L30_T32PPT_v1,1616469,62135,29624,11687372
DIST-ALERT_2022008T091819_L30_T33PWP_v1,244,0,27,13395329
DIST-ALERT_2022017T091206_L30_T33PWP_v1,13203846,658,118,190978
DIST-ALERT_2022009T091209_L30_T33PWP_v1,13288274,2309,358,104659
DIST-ALERT_2022024T091814_L30_T33PWP_v1,6215,2688,2210,13384487
DIST-ALERT_2022013T093715_L30_T32PPT_v1,3680026,112377,98944,9504253
DIST-ALERT_2022025T091210_L30_T33PWP_v1,12495457,0,141,900002
DIST-ALERT_2022016T091819_L30_T33PWP_v1,8427178,70372,33408,4864642
DIST-ALERT_2022015T084102_L30_T34LEQ_v1,11973769,28979,32104,1360748
DIST-ALERT_2022023T084058_L30_T34LEQ_v1,12919249,14624,51833,409894
DIST-ALERT_2022031T084104_L30_T34LEQ_v1,11340244,33352,25314,1996690
DIST-ALERT_2022004T085537_L30_T34NCL_v1,9636559,26623,14605,3717813
DIST-ALERT_2022011T090146_L30_T34NCL_v1,13395600,0,0,0
DIST-ALERT_2022003T090146_L30_T34NCL_v1,13179104,1554,6949,207993
DIST-ALERT_2022012T085535_L30_T34NCL_v1,13395600,0,0,0
DIST-ALERT_2022019T090144_L30_T34NCL_v1,12841701,26,0,553873
DIST-ALERT_2022028T085529_L30_T34NCL_v1,12011681,14386,421447,948086
DIST-ALERT_2022020T085536_L30_T34NCL_v1,2590554,33966,21599,10749481
DIST-ALERT_2022027T090148_L30_T34NCL_v1,12968176,857,1026,425541
DIST-ALERT_2022006T080434_L30_T35HLD_v1,13395600,0,0,0
DIST-ALERT_2022014T080433_L30_T35HLD_v1,11986461,2345,849,1405945
DIST-ALERT_2022022T080430_L30_T35HLD_v1,9195310,354,816,4199120
DIST-ALERT_2022002T081719_L30_T35PQM_v1,11747794,30473,68972,1548361
DIST-ALERT_2022010T081719_L30_T35PQM_v1,10041908,11322,5999,3336371
DIST-ALERT_2022026T081721_L30_T35PQM_v1,8467000,1,213,4928386
DIST-ALERT_2022006T075347_L30_T36NXM_v1,13395600,0,0,0
DIST-ALERT_2022005T080000_L30_T36NXM_v1,6433314,51016,31139,6880131
DIST-ALERT_2022014T075347_L30_T36NXM_v1,10809773,1471,223,2584133
DIST-ALERT_2022029T075952_L30_T36NXM_v1,719703,13747,10491,12651659
